# hindsight — drug-event pairs over one FAERS partition
# partition: 2025q1/0001-of-0028
# export_date: 2026-08-10
# min_count: 3
# crowding_cut: 27 distinct drugs (the 0.99 quantile of this partition)
# Read with comment='#'. Counts are distinct reports.
"drug","event","a","b","c","d","prr","chi2","signal","crowding","crowded"
"WEGOVY","Nausea","4","15","443","11538","5.694","11.46","1","4.0","0"
"LUPKYNIS","Memory impairment","4","86","93","11817","5.692","10.733","1","1.0","0"
"ZINC","COVID-19","4","40","191","11765","5.691","11.068","1","22.5","0"
"VITAMINS","Gastrooesophageal reflux disease","4","135","60","11801","5.689","10.442","1","10.0","0"
"FOLIC ACID","Heart rate decreased","3","266","23","11708","5.688","6.465","1","12.0","0"
"NEXIUM","Cough","3","23","243","11731","5.686","7.427","1","17.0","0"
"HYDROXYCHLOROQUINE","Malaise","12","85","259","11644","5.685","40.807","1","73.0","1"
"CETIRIZINE HYDROCHLORIDE","Nausea","19","74","428","11479","5.684","68.313","1","48.0","1"
"ACTEMRA","Blood pressure increased","3","50","119","11828","5.683","7.243","1","17.0","0"
"FLUCONAZOLE","Anaemia","4","73","109","11814","5.682","10.79","1","54.5","1"
"ACETAMINOPHEN","Dyspepsia","15","483","61","11441","5.679","42.854","1","73.0","1"
"OXALIPLATIN","Paraesthesia","5","138","73","11784","5.679","13.972","1","3.0","0"
"CALCIUM","Gait disturbance","8","136","116","11740","5.678","24.842","1","31.5","1"
"SULFASALAZINE","Nausea","17","66","430","11487","5.676","60.819","1","70.0","1"
"OXYCODONE HYDROCHLORIDE","Nasopharyngitis","7","70","191","11732","5.675","22.028","1","73.0","1"
"TACROLIMUS","Systemic lupus erythematosus","5","207","49","11739","5.674","13.478","1","6.0","0"
"MELOXICAM","Peripheral swelling","3","46","129","11822","5.672","7.243","1","26.0","0"
"IMURAN","Dyspnoea","5","22","391","11582","5.671","15.151","1","86.0","1"
"SPIRONOLACTONE","Hypotension","9","153","116","11722","5.67","28.172","1","13.0","0"
"LANSOPRAZOLE","Memory impairment","5","109","92","11794","5.666","14.144","1","67.0","1"
"VITAMIN D3","Psoriatic arthropathy","6","276","44","11674","5.666","16.371","1","41.5","1"
"OXYCODONE HYDROCHLORIDE","Decreased appetite","6","71","164","11759","5.665","18.195","1","48.0","1"
"TRASTUZUMAB","Dyspnoea","7","31","389","11573","5.665","22.767","1","2.0","0"
"HYDROCORTISONE","Febrile neutropenia","3","102","60","11835","5.664","6.987","1","9.0","0"
"MYCOPHENOLATE MOFETIL","Rheumatoid arthritis","7","165","85","11743","5.663","20.814","1","17.0","0"
"METHOTREXATE SODIUM","Abdominal discomfort","3","54","111","11832","5.663","7.186","1","73.0","1"
"VITAMIN C","Stress","4","127","64","11805","5.663","10.416","1","14.0","0"
"VITAMIN C","Loss of personal independence in daily activities","3","128","48","11821","5.663","6.887","1","77.0","1"
"DICLOFENAC","Pyrexia","7","53","246","11694","5.663","22.242","1","33.0","1"
"METFORMIN","Sleep disorder due to a general medical condition","4","215","38","11743","5.663","9.964","1","31.5","1"
"ADEMPAS","Dizziness","5","33","278","11684","5.662","14.89","1","3.0","0"
"DULOXETINE","Sinusitis","3","75","81","11841","5.661","7.088","1","12.0","0"
"IBUPROFEN","Mental disorder","3","220","28","11749","5.658","6.564","1","10.0","0"
"RAMIPRIL","Vomiting","17","104","295","11584","5.657","58.79","1","60.0","1"
"KEYTRUDA","Hepatitis","3","237","26","11734","5.654","6.501","1","2.0","0"
"FOSAMAX","Pyrexia","4","30","249","11717","5.654","11.07","1","71.5","1"
"MINOCYCLINE","Diarrhoea","4","14","471","11511","5.653","11.372","1","78.5","1"
"UPTRAVI","Diarrhoea","4","14","471","11511","5.653","11.372","1","3.0","0"
"CRESTOR","Abdominal pain upper","3","44","135","11818","5.652","7.215","1","15.0","0"
"POMALYST","Muscle spasms","3","49","122","11826","5.65","7.186","1","1.0","0"
"CLONIDINE","Constipation","3","43","138","11816","5.649","7.216","1","17.0","0"
"OLANZAPINE","Loss of consciousness","3","90","68","11839","5.648","7.004","1","7.0","0"
"AMLODIPINE","Cataract","6","265","46","11683","5.645","16.373","1","8.0","0"
"AMLODIPINE","Aspartate aminotransferase increased","3","268","23","11706","5.645","6.389","1","16.0","0"
"AMLODIPINE","Heart rate decreased","3","268","23","11706","5.645","6.389","1","13.0","0"
"LORAZEPAM","Heart rate increased","3","99","62","11836","5.644","6.961","1","14.0","0"
"LORAZEPAM","Hepatic enzyme increased","3","99","62","11836","5.644","6.961","1","75.0","1"
"PANTOPRAZOLE","Arthropathy","4","205","40","11751","5.642","9.961","1","47.0","1"
"PANTOPRAZOLE","Bronchitis","4","205","40","11751","5.642","9.961","1","16.5","0"
"PANTOPRAZOLE","Hypothyroidism","3","206","30","11761","5.642","6.581","1","14.0","0"
"FERROUS SULFATE","Asthenia","6","49","231","11714","5.641","18.38","1","19.5","0"
"PREDNISONE","Frequent bowel movements","10","756","26","11208","5.641","24.183","1","22.0","0"
"ESCITALOPRAM","Completed suicide","4","84","96","11816","5.64","10.603","1","5.5","0"
"MIRTAZAPINE","Completed suicide","5","106","95","11794","5.637","14.063","1","7.0","0"
"METOPROLOL SUCCINATE","Hospitalisation","4","92","88","11816","5.636","10.545","1","30.0","1"
"LANSOPRAZOLE","Paraesthesia","4","110","74","11812","5.636","10.439","1","49.5","1"
"METFORMIN HYDROCHLORIDE","Blister","3","110","56","11831","5.635","6.904","1","84.0","1"
"CELECOXIB","Insomnia","4","49","160","11787","5.635","10.832","1","48.5","1"
"VANCOMYCIN","Acute kidney injury","3","50","120","11827","5.635","7.153","1","7.0","0"
"AZATHIOPRINE","Treatment failure","3","96","64","11837","5.635","6.956","1","52.0","1"
"POTASSIUM CHLORIDE","Haematochezia","3","126","49","11822","5.634","6.843","1","92.0","1"
"POTASSIUM CHLORIDE","Oxygen saturation decreased","3","126","49","11822","5.634","6.843","1","17.0","0"
"DICLOFENAC SODIUM","Visual impairment","3","70","87","11840","5.634","7.059","1","48.0","1"
"NUCALA","Diarrhoea","9","32","466","11493","5.633","30.447","1","73.0","1"
"NOVORAPID","Pruritus","3","13","399","11585","5.632","7.456","1","14.0","0"
"RITUXAN","Pruritus","3","13","399","11585","5.632","7.456","1","52.0","1"
"PACLITAXEL","Thrombocytopenia","6","148","82","11764","5.628","17.262","1","5.5","0"
"HUMAN IMMUNOGLOBULIN G","Illness","8","84","184","11724","5.628","25.281","1","25.5","0"
"PAXLOVID","Headache","4","18","387","11591","5.627","11.19","1","3.5","0"
"SILDENAFIL CITRATE","Headache","4","18","387","11591","5.627","11.19","1","19.0","0"
"ATORVASTATIN CALCIUM","Cough","11","88","235","11666","5.627","36.393","1","17.0","0"
"VITAMINS","Memory impairment","6","133","91","11770","5.626","17.387","1","12.5","0"
"BUPROPION","Asthma","4","58","137","11801","5.622","10.725","1","26.0","0"
"METOPROLOL TARTRATE","Pain in extremity","5","55","177","11763","5.621","14.453","1","14.0","0"
"LISINOPRIL","Frequent bowel movements","3","188","33","11776","5.621","6.605","1","12.0","0"
"CALCIUM CARBONATE\CHOLECALCIFEROL","Weight increased","3","39","152","11806","5.619","7.181","1","75.0","1"
"AMITRIPTYLINE","Vomiting","8","48","304","11640","5.613","25.88","1","15.5","0"
"CETIRIZINE","Thrombocytopenia","3","72","85","11840","5.612","7.009","1","54.0","1"
"CLONAZEPAM","Nasal congestion","3","98","63","11836","5.61","6.902","1","18.0","0"
"CIMZIA","Pyrexia","5","38","248","11709","5.606","14.602","1","70.0","1"
"PANTOPRAZOLE SODIUM","Rash pruritic","3","148","42","11807","5.605","6.713","1","11.0","0"
"BUDESONIDE","Drug hypersensitivity","5","71","140","11784","5.603","14.23","1","26.0","0"
"LYRICA","Drug hypersensitivity","5","71","140","11784","5.603","14.23","1","52.0","1"
"LORATADINE","Dyspnoea","8","36","388","11568","5.603","26.147","1","12.5","0"
"HYDROCHLOROTHIAZIDE","Dyspepsia","5","144","71","11780","5.601","13.658","1","31.0","1"
"IRON","Insomnia","5","62","159","11774","5.601","14.305","1","18.0","0"
"ESOMEPRAZOLE","Memory impairment","3","65","94","11838","5.6","7.016","1","10.0","0"
"ACETAMINOPHEN","Oedema","8","490","33","11469","5.599","20.687","1","52.0","1"
"REPATHA","Injection site pain","20","159","236","11585","5.597","66.795","1","1.0","0"
"FISH OIL","Pain","8","48","305","11639","5.594","25.759","1","37.5","1"
"ROSUVASTATIN","Pulmonary embolism","3","164","38","11795","5.594","6.639","1","53.0","1"
"TYLENOL","Arthropathy","3","152","41","11804","5.592","6.676","1","46.0","1"
"TYLENOL","Dry mouth","3","152","41","11804","5.592","6.676","1","18.0","0"
"PROLIA","Headache","7","32","384","11577","5.591","22.316","1","14.0","0"
"CETIRIZINE","Pneumonia","9","66","256","11669","5.59","29.099","1","46.0","1"
"VOLTAREN","Fatigue","6","17","559","11418","5.589","18.943","1","60.0","1"
"ACTEMRA","Gait disturbance","3","50","121","11826","5.589","7.064","1","73.0","1"
"CREON","Gait disturbance","3","50","121","11826","5.589","7.064","1","12.0","0"
"VITAMIN C","Dyspnoea","23","108","373","11496","5.587","79.91","1","37.0","1"
"LANSOPRAZOLE","Inflammation","3","111","56","11830","5.586","6.809","1","67.0","1"
"HYDROXYZINE","Urticaria","3","46","131","11820","5.585","7.077","1","4.0","0"
"AMLODIPINE","Hypoxia","4","267","31","11698","5.585","9.531","1","19.5","0"
"METHOTREXATE","Glaucoma","3","412","15","11570","5.583","5.874","1","8.0","0"
"METHOTREXATE","Kidney infection","3","412","15","11570","5.583","5.874","1","3.0","0"
"METHOTREXATE","Pancreatitis","3","412","15","11570","5.583","5.874","1","12.0","0"
"OXYCODONE HYDROCHLORIDE","Somnolence","4","73","111","11812","5.58","10.506","1","1.0","0"
"PLAVIX","Dizziness","3","20","280","11697","5.579","7.249","1","20.0","0"
"VOLTAREN","Dizziness","3","20","280","11697","5.579","7.249","1","39.0","1"
"CODEINE","Dyspnoea","6","27","390","11577","5.579","18.527","1","29.0","1"
"FLONASE","Dyspnoea","6","27","390","11577","5.579","18.527","1","13.5","0"
"CODEINE","Nasopharyngitis","3","30","195","11772","5.579","7.16","1","46.0","1"
"FLONASE","Nasopharyngitis","3","30","195","11772","5.579","7.16","1","27.0","1"
"SYNTHROID","Dysphagia","3","97","64","11836","5.578","6.847","1","58.0","1"
"LEFLUNOMIDE","Abdominal pain","5","64","155","11776","5.578","14.201","1","52.0","1"
"DIPHENHYDRAMINE","Contusion","3","94","66","11837","5.578","6.858","1","50.0","1"
"REMICADE","Diarrhoea","14","51","461","11474","5.576","48.583","1","71.5","1"
"MYCOPHENOLATE MOFETIL","Ill-defined disorder","3","169","37","11791","5.576","6.591","1","70.0","1"
"ACETAMINOPHEN","Upper respiratory tract infection","7","491","29","11473","5.575","17.553","1","56.0","1"
"NUCALA","Abdominal pain","3","38","157","11802","5.574","7.098","1","84.0","1"
"ATENOLOL","Arthralgia","9","57","292","11642","5.573","29.186","1","15.0","0"
"REPATHA","Visual impairment","7","172","83","11738","5.57","20.266","1","1.0","0"
"QUETIAPINE FUMARATE","Abdominal pain","4","51","156","11789","5.569","10.628","1","51.0","1"
"ATORVASTATIN CALCIUM","Anaemia","5","94","108","11793","5.565","13.898","1","31.0","1"
"GABAPENTIN","Cognitive disorder","5","333","31","11631","5.565","12.369","1","7.0","0"
"PANTOPRAZOLE","General physical health deterioration","7","202","71","11720","5.562","19.933","1","44.0","1"
"TACROLIMUS","Thrombocytopenia","8","204","80","11708","5.56","23.316","1","19.0","0"
"TACROLIMUS","Intestinal obstruction","3","209","30","11758","5.56","6.434","1","3.0","0"
"IBUPROFEN","Gastrointestinal disorder","8","215","76","11701","5.559","23.186","1","45.5","1"
"MAGNESIUM OXIDE","Peripheral swelling","3","47","129","11821","5.558","7.02","1","45.0","1"
"HYDROXYCHLOROQUINE SULFATE","Dyspnoea","9","41","387","11563","5.558","29.531","1","45.0","1"
"HUMIRA","Fall","10","97","200","11693","5.557","31.908","1","16.5","0"
"ROSUVASTATIN","Cerebrovascular accident","4","163","51","11782","5.557","9.953","1","16.0","0"
"ROSUVASTATIN CALCIUM","Malaise","7","50","264","11679","5.556","21.7","1","35.0","1"
"REMODULIN","Chest pain","3","59","104","11834","5.554","6.956","1","4.0","0"
"METHYLPREDNISOLONE","Joint swelling","7","157","91","11745","5.552","20.326","1","73.0","1"
"METHYLPREDNISOLONE","Gastrointestinal disorder","6","158","78","11758","5.552","16.845","1","73.0","1"
"METHYLPREDNISOLONE","Osteoarthritis","3","161","39","11797","5.552","6.575","1","84.0","1"
"PREDNISONE","Respiratory failure","14","752","37","11197","5.549","34.583","1","5.5","0"
"SULFAMETHOXAZOLE\TRIMETHOPRIM","Drug intolerance","3","72","86","11839","5.547","6.886","1","73.0","1"
"ACTEMRA","Hypotension","3","50","122","11825","5.543","6.976","1","73.0","1"
"MESALAMINE","Blood pressure increased","4","69","118","11809","5.538","10.417","1","4.0","0"
"ENTYVIO","Vomiting","3","18","309","11670","5.538","7.192","1","68.0","1"
"MELATONIN","Anaemia","4","75","109","11812","5.538","10.376","1","21.5","0"
"GEMCITABINE","Thrombocytopenia","3","73","85","11839","5.537","6.865","1","4.0","0"
"LISINOPRIL","Swelling","6","185","67","11742","5.537","16.559","1","71.0","1"
"DOXYCYCLINE","Infection","3","63","98","11836","5.535","6.902","1","70.0","1"
"ETANERCEPT","Pain","4","24","309","11663","5.535","10.81","1","50.0","1"
"METHOCARBAMOL","Pain","4","24","309","11663","5.535","10.81","1","19.0","0"
"DEXAMETHASONE","Neutropenia","15","308","98","11579","5.533","44.783","1","6.0","0"
"VITAMIN B12","Contusion","4","128","65","11803","5.533","10.067","1","18.5","0"
"ZOPICLONE","Asthma","4","59","137","11800","5.532","10.466","1","50.0","1"
"RINVOQ","Urinary tract infection","3","51","120","11826","5.531","6.947","1","17.0","0"
"EPINEPHRINE","Loss of consciousness","3","92","68","11837","5.529","6.775","1","13.0","0"
"EPINEPHRINE","Wheezing","3","92","68","11837","5.529","6.775","1","12.0","0"
"CALCIUM CARBONATE\CHOLECALCIFEROL","Fall","4","38","206","11752","5.528","10.624","1","43.5","1"
"DUPIXENT","Anosmia","4","1513","5","10478","5.528","5.619","1","2.0","0"
"DUPIXENT","Chronic sinusitis","4","1513","5","10478","5.528","5.619","1","10.0","0"
"DUPIXENT","Sensitivity to weather change","4","1513","5","10478","5.528","5.619","1","1.5","0"
"ALBUTEROL","Gastrooesophageal reflux disease","4","139","60","11797","5.528","9.997","1","16.5","0"
"STELARA","Therapeutic response decreased","3","134","47","11816","5.527","6.623","1","56.0","1"
"HYDROCORTISONE","Arthralgia","14","91","287","11608","5.526","46.391","1","57.0","1"
"UNSPECIFIED INGREDIENT","Weight decreased","5","47","208","11740","5.523","14.174","1","3.0","0"
"ACETAMINOPHEN","Abdominal discomfort","22","476","92","11410","5.523","62.606","1","57.0","1"
"SULFASALAZINE","Oropharyngeal pain","3","80","78","11839","5.522","6.809","1","6.0","0"
"MELATONIN","Hot flush","3","76","82","11839","5.521","6.822","1","16.0","0"
"JANUVIA","Pain","3","18","310","11669","5.52","7.157","1","58.0","1"
"KISQALI","Pain","3","18","310","11669","5.52","7.157","1","3.0","0"
"DILTIAZEM","Dyspnoea","7","32","389","11572","5.519","21.907","1","52.0","1"
"CERTOLIZUMAB PEGOL","Weight decreased","3","28","210","11759","5.516","7.052","1","67.0","1"
"ATORVASTATIN","Tubulointerstitial nephritis","3","331","19","11647","5.515","5.997","1","11.0","0"
"VITAMIN C","Blood pressure increased","7","124","115","11754","5.515","20.485","1","16.0","0"
"PANTOPRAZOLE SODIUM","Nasopharyngitis","13","138","185","11664","5.514","41.4","1","45.0","1"
"MORPHINE SULFATE","Vomiting","8","49","304","11639","5.514","25.21","1","53.0","1"
"RITUXIMAB","Loss of personal independence in daily activities","5","227","46","11722","5.513","12.825","1","66.0","1"
"AZACITIDINE","Death","3","17","326","11654","5.512","7.154","1","3.0","0"
"MIRCERA","Death","3","17","326","11654","5.512","7.154","1","1.0","0"
"VENCLEXTA","Death","3","17","326","11654","5.512","7.154","1","3.0","0"
"METOPROLOL","Chest pain","6","122","101","11771","5.51","16.976","1","5.0","0"
"CRESTOR","Dizziness","6","41","277","11676","5.509","17.89","1","10.0","0"
"SIMVASTATIN","Somnolence","4","74","111","11811","5.508","10.3","1","18.5","0"
"BISOPROLOL","Sinusitis","4","104","80","11812","5.506","10.121","1","37.5","1"
"VITAMIN B12","Oxygen saturation decreased","3","129","49","11819","5.505","6.599","1","16.0","0"
"VITAMIN D","Rheumatoid arthritis","5","119","87","11789","5.504","13.493","1","13.0","0"
"REMICADE","Nausea","13","52","434","11501","5.5","43.815","1","73.0","1"
"ALPRAZOLAM","Dyspepsia","4","116","72","11808","5.5","10.042","1","61.5","1"
"MAGNESIUM","Dyspepsia","4","116","72","11808","5.5","10.042","1","19.0","0"
"MAGNESIUM","Neuropathy peripheral","5","115","90","11790","5.5","13.507","1","16.0","0"
"PREDNISONE","Abscess","3","763","8","11226","5.5","4.922","1","6.0","0"
"PREDNISONE","Back disorder","3","763","8","11226","5.5","4.922","1","73.0","1"
"PREDNISONE","Bacteraemia","3","763","8","11226","5.5","4.922","1","7.0","0"
"PREDNISONE","Basal cell carcinoma","3","763","8","11226","5.5","4.922","1","45.0","1"
"PREDNISONE","Food poisoning","3","763","8","11226","5.5","4.922","1","5.0","0"
"PREDNISONE","Hypogammaglobulinaemia","3","763","8","11226","5.5","4.922","1","8.0","0"
"PREDNISONE","Lower limb fracture","3","763","8","11226","5.5","4.922","1","70.0","1"
"PREDNISONE","Lymphopenia","3","763","8","11226","5.5","4.922","1","5.0","0"
"PREDNISONE","Walking aid user","3","763","8","11226","5.5","4.922","1","68.0","1"
"ACETAMINOPHEN","Paraesthesia","15","483","63","11439","5.499","41.153","1","66.0","1"
"ZOFRAN","Diarrhoea","9","33","466","11492","5.499","29.383","1","11.0","0"
"CETIRIZINE HYDROCHLORIDE","Decreased appetite","7","86","163","11744","5.498","20.84","1","73.0","1"
"STELARA","Arthritis","4","133","63","11800","5.498","9.948","1","54.0","1"
"BENADRYL","Illness","6","64","186","11744","5.498","17.51","1","13.0","0"
"FOLIC ACID","Urticaria","15","254","119","11612","5.497","45.515","1","68.0","1"
"LISINOPRIL","Stomatitis","4","187","45","11764","5.496","9.68","1","71.0","1"
"INFLECTRA","Pain in extremity","6","68","176","11750","5.494","17.446","1","3.0","0"
"PANTOPRAZOLE SODIUM","Chest pain","7","144","100","11749","5.493","20.157","1","45.0","1"
"ZOPICLONE","Weight decreased","6","57","207","11730","5.492","17.572","1","60.5","1"
"SINGULAIR","COVID-19","6","63","189","11742","5.489","17.483","1","14.5","0"
"CALCIUM","Abdominal pain","10","134","150","11706","5.489","30.698","1","26.0","0"
"LANSOPRAZOLE","Tachycardia","3","111","57","11829","5.488","6.631","1","25.0","0"
"IBUPROFEN","Hypoaesthesia","8","215","77","11700","5.487","22.772","1","57.5","1"
"ACETAMINOPHEN\OXYCODONE HYDROCHLORIDE","Pneumonia","3","22","262","11713","5.485","7.043","1","70.0","1"
"VITAMIN D2","Pneumonia","3","22","262","11713","5.485","7.043","1","29.0","1"
"WELLBUTRIN","Pneumonia","3","22","262","11713","5.485","7.043","1","46.0","1"
"FUROSEMIDE","Productive cough","4","241","35","11720","5.483","9.403","1","27.5","1"
"SULFAMETHOXAZOLE\TRIMETHOPRIM","Depression","4","71","116","11809","5.483","10.249","1","71.5","1"
"DIAZEPAM","Visual impairment","3","72","87","11838","5.483","6.766","1","14.0","0"
"PADCEV","Rash","4","22","336","11638","5.483","10.691","1","2.5","0"
"OXYCODONE","Dehydration","3","102","62","11833","5.482","6.652","1","17.0","0"
"CLOBETASOL","Arthralgia","3","19","298","11680","5.481","7.068","1","13.0","0"
"SILDENAFIL CITRATE","Arthralgia","3","19","298","11680","5.481","7.068","1","22.0","0"
"CLONAZEPAM","Overdose","4","97","86","11813","5.48","10.089","1","11.5","0"
"ERELZI","Pyrexia","5","39","248","11708","5.478","14.105","1","70.0","1"
"KEVZARA","Pyrexia","5","39","248","11708","5.478","14.105","1","48.0","1"
"HUMAN IMMUNOGLOBULIN G","Malaise","11","81","260","11648","5.476","35.201","1","12.0","0"
"HUMIRA","Weight decreased","10","97","203","11690","5.475","31.246","1","69.0","1"
"CORTISONE","Cough","3","24","243","11730","5.475","7.004","1","9.0","0"
"IMURAN","Cough","3","24","243","11730","5.475","7.004","1","7.0","0"
"BUDESONIDE","Drug intolerance","3","73","86","11838","5.473","6.744","1","45.0","1"
"LYRICA","Drug intolerance","3","73","86","11838","5.473","6.744","1","52.0","1"
"MORPHINE","Drug interaction","3","56","111","11830","5.47","6.809","1","10.0","0"
"FISH OIL","Depression","3","53","117","11827","5.469","6.82","1","67.0","1"
"LORAZEPAM","Urticaria","6","96","128","11770","5.468","17.031","1","37.5","1"
"VITAMIN D3","Balance disorder","5","277","38","11680","5.468","12.384","1","9.0","0"
"METHYLPREDNISOLONE","Wheezing","5","159","66","11770","5.467","13.095","1","84.0","1"
"MAGNESIUM","Back pain","8","112","145","11735","5.462","23.834","1","16.0","0"
"TRAMADOL HCL","Injection site pain","3","23","253","11721","5.461","6.987","1","22.0","0"
"PANTOPRAZOLE SODIUM","Confusional state","8","143","115","11734","5.459","23.423","1","57.0","1"
"TYLENOL","Alopecia","7","148","98","11747","5.459","19.938","1","33.0","1"
"LISINOPRIL","Influenza like illness","3","188","34","11775","5.455","6.321","1","58.0","1"
"LISINOPRIL","Night sweats","3","188","34","11775","5.455","6.321","1","67.0","1"
"HUMALOG","Injection site bruising","3","106","60","11831","5.455","6.588","1","3.0","0"
"TRELEGY ELLIPTA","Asthma","6","91","135","11768","5.454","17.017","1","5.0","0"
"FUROSEMIDE","Oedema peripheral","5","240","44","11711","5.452","12.548","1","12.0","0"
"FOLIC ACID","Nasopharyngitis","22","247","176","11555","5.451","68.213","1","68.5","1"
"FOLIC ACID","Cellulitis","3","266","24","11707","5.451","6.081","1","17.0","0"
"ONDANSETRON","Dysphonia","3","142","45","11810","5.451","6.459","1","33.0","1"
"LENALIDOMIDE","C-reactive protein increased","3","164","39","11794","5.45","6.388","1","45.0","1"
"AZELASTINE HYDROCHLORIDE","Headache","3","14","388","11595","5.45","7.078","1","26.0","0"
"HUMAN IMMUNOGLOBULIN G","Nasopharyngitis","8","84","190","11718","5.45","24.154","1","11.0","0"
"VITAMIN D3","Contusion","8","274","61","11657","5.45","21.951","1","26.0","0"
"CALCIUM CARBONATE","Anxiety","5","63","161","11771","5.449","13.735","1","58.0","1"
"VEDOLIZUMAB","Abdominal pain upper","8","126","130","11736","5.449","23.575","1","4.5","0"
"CALCIUM CARBONATE\CHOLECALCIFEROL","Weight decreased","4","38","209","11749","5.449","10.398","1","71.0","1"
"EPINEPHRINE","Chest discomfort","3","92","69","11836","5.449","6.627","1","29.0","1"
"GABAPENTIN","Eye pain","3","335","19","11643","5.448","5.882","1","15.0","0"
"CALCIUM CARBONATE","Fatigue","17","51","548","11384","5.443","58.295","1","58.0","1"
"OMALIZUMAB","COVID-19","4","42","191","11763","5.442","10.343","1","10.0","0"
"MORPHINE SULFATE","Influenza","4","53","154","11789","5.442","10.256","1","41.0","1"
"PROZAC","Diarrhoea","3","11","472","11514","5.442","7.122","1","9.0","0"
"LAMICTAL","Abdominal pain","3","39","157","11801","5.44","6.835","1","67.0","1"
"SERTRALINE HYDROCHLORIDE","Abdominal pain","3","39","157","11801","5.44","6.835","1","50.0","1"
"OPSUMIT","Hypotension","3","51","122","11824","5.44","6.774","1","22.0","0"
"SIMPONI","Hypotension","3","51","122","11824","5.44","6.774","1","73.0","1"
"BENADRYL","Memory impairment","3","67","94","11836","5.439","6.704","1","18.0","0"
"PANTOPRAZOLE SODIUM","Hypersensitivity","7","144","101","11748","5.439","19.875","1","56.0","1"
"ASPIRIN","Faeces discoloured","3","452","14","11531","5.437","5.559","1","6.0","0"
"ASPIRIN","Fungal infection","3","452","14","11531","5.437","5.559","1","12.0","0"
"ASPIRIN","Oral candidiasis","3","452","14","11531","5.437","5.559","1","92.0","1"
"VITAMIN C","Syncope","3","128","50","11819","5.436","6.48","1","18.0","0"
"PREDNISOLONE","Lower respiratory tract infection","4","185","46","11765","5.434","9.532","1","39.0","1"
"DIGOXIN","Malaise","4","29","267","11700","5.433","10.447","1","26.0","0"
"COBENFY","Nausea","6","24","441","11529","5.429","17.897","1","1.0","0"
"LEXAPRO","Nausea","6","24","441","11529","5.429","17.897","1","8.5","0"
"PANTOPRAZOLE","Musculoskeletal stiffness","5","204","52","11739","5.425","12.67","1","48.0","1"
"HYDROCHLOROTHIAZIDE","Myocardial infarction","3","146","44","11807","5.423","6.397","1","21.0","0"
"DEXAMETHASONE","Pericardial effusion","3","320","20","11657","5.423","5.884","1","21.0","0"
"VITAMIN D3","Oxygen saturation decreased","6","276","46","11672","5.42","15.404","1","20.5","0"
"MOUNJARO","Abdominal pain upper","3","46","135","11816","5.42","6.76","1","5.0","0"
"SPIRIVA","Pain in extremity","3","34","179","11784","5.419","6.823","1","53.0","1"
"CREON","Weight decreased","5","48","208","11739","5.419","13.77","1","1.0","0"
"CYCLOPHOSPHAMIDE","Sepsis","7","220","67","11706","5.419","19.058","1","8.0","0"
"DICLOFENAC POTASSIUM","Nausea","5","20","442","11533","5.419","14.235","1","70.0","1"
"WELLBUTRIN","Nausea","5","20","442","11533","5.419","14.235","1","6.0","0"
"TOPIRAMATE","Drug interaction","4","76","110","11810","5.418","10.04","1","12.0","0"
"ADALIMUMAB","Sinusitis","6","162","78","11754","5.418","16.238","1","71.5","1"
"INFLECTRA","Cough","8","66","238","11688","5.417","24.24","1","2.0","0"
"QUETIAPINE","Treatment failure","3","100","64","11833","5.414","6.535","1","17.0","0"
"HYDROXYCHLOROQUINE","Weight decreased","9","88","204","11699","5.414","27.388","1","67.0","1"
"DIPHENHYDRAMINE","Wheezing","3","94","68","11835","5.414","6.555","1","12.0","0"
"MONTELUKAST SODIUM","Hypersensitivity","3","60","105","11832","5.414","6.685","1","15.0","0"
"TRIAMCINOLONE ACETONIDE","Hypersensitivity","3","60","105","11832","5.414","6.685","1","89.0","1"
"UNSPECIFIED INGREDIENT","Headache","9","43","382","11566","5.413","28.38","1","15.0","0"
"PREGABALIN","Atrial fibrillation","3","126","51","11820","5.413","6.445","1","1.0","0"
"STELARA","Loss of personal independence in daily activities","3","134","48","11815","5.412","6.417","1","77.0","1"
"CANDESARTAN","Overdose","3","73","87","11837","5.41","6.626","1","78.0","1"
"CETIRIZINE HYDROCHLORIDE","Tremor","3","90","71","11836","5.41","6.563","1","15.0","0"
"AMITRIPTYLINE","Dizziness","7","49","276","11668","5.409","20.9","1","16.0","0"
"SYNTHROID","Muscular weakness","3","97","66","11834","5.409","6.536","1","58.0","1"
"ENBREL","Diarrhoea","14","53","461","11472","5.409","46.46","1","71.5","1"
"TELMISARTAN","Nausea","4","16","443","11537","5.409","10.6","1","36.0","1"
"CALCIUM CARBONATE","Arthralgia","9","59","292","11640","5.408","27.919","1","75.0","1"
"FAMOTIDINE","Oedema peripheral","3","140","46","11811","5.408","6.389","1","20.0","0"
"ALLOPURINOL","Febrile neutropenia","3","107","60","11830","5.405","6.493","1","16.0","0"
"SINGULAIR","Nasopharyngitis","6","63","192","11739","5.404","17.087","1","10.0","0"
"PREDNISONE","Liver function test increased","7","759","19","11215","5.403","15.112","1","73.0","1"
"LEVOFLOXACIN","Neuropathy peripheral","3","69","92","11836","5.402","6.627","1","7.0","0"
"CABOMETYX","Alopecia","3","62","102","11833","5.4","6.652","1","10.0","0"
"NUPLAZID","Fall","4","39","206","11751","5.399","10.247","1","9.0","0"
