# hindsight — drug-event pairs over one FAERS partition
# partition: 2025q1/0001-of-0028
# export_date: 2026-08-10
# min_count: 3
# crowding_cut: 27 distinct drugs (the 0.99 quantile of this partition)
# Read with comment='#'. Counts are distinct reports.
"drug","event","a","b","c","d","prr","chi2","signal","crowding","crowded"
"GOLD SODIUM THIOMALATE","Finger deformity","7","11","3","11979","1553.222","2810.235","1","77.0","1"
"MINOCYCLINE","Onychomycosis","7","11","3","11979","1553.222","2810.235","1","84.0","1"
"MYRBETRIQ","Onychomycosis","8","23","2","11967","1544.387","2169.854","1","81.0","1"
"COMPLERA","Multiple fractures","3","1","6","11990","1499.5","2080.59","1","3.0","0"
"ICATIBANT","Hereditary angioedema","5","0","8","11987","1499.375","3735.068","1","2.0","0"
"LANADELUMAB","Hereditary angioedema","5","0","8","11987","1499.375","3735.068","1","3.0","0"
"FLUMETHASONE","Onychomycosis","5","3","5","11987","1499.0","3033.055","1","89.0","1"
"TEPEZZA","Deafness neurosensory","3","5","3","11989","1499.0","1559.323","1","31.0","1"
"GOLD","Onychomycosis","6","6","4","11984","1498.5","3019.543","1","86.5","1"
"TRIKAFTA","Cystic fibrosis","3","9","2","11986","1498.5","1246.771","1","6.0","0"
"MEDROXYPROGESTERONE ACETATE","Meningioma","4","12","2","11982","1498.0","1527.057","1","1.5","0"
"BUTRANS","Blepharospasm","9","9","4","11978","1497.75","3697.694","1","77.0","1"
"GOLD SODIUM THIOMALATE","Blepharospasm","9","9","4","11978","1497.75","3697.694","1","77.0","1"
"CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE","Adverse reaction","6","18","2","11974","1497.0","1884.664","1","75.0","1"
"PHTHALYLSULFATHIAZOLE","Muscle injury","14","14","4","11968","1496.5","4328.907","1","73.0","1"
"NAPROXEN SODIUM","Onychomadesis","7","21","2","11970","1496.5","2005.105","1","77.0","1"
"PHTHALYLSULFATHIAZOLE","Onychomadesis","7","21","2","11970","1496.5","2005.105","1","78.0","1"
"ARAVA","Adjustment disorder with depressed mood","4","28","1","11967","1496.0","914.582","1","71.5","1"
"ARAVA","X-ray abnormal","4","28","1","11967","1496.0","914.582","1","70.0","1"
"CLARITHROMYCIN","Female genital tract fistula","4","28","1","11967","1496.0","914.582","1","61.5","1"
"CLARITHROMYCIN","Radiculopathy","4","28","1","11967","1496.0","914.582","1","61.5","1"
"REMICADE","Onychomadesis","8","57","1","11934","1468.923","1145.957","1","77.5","1"
"FLUMETHASONE PIVALATE","Nail disorder","8","14","3","11975","1451.879","2781.922","1","75.0","1"
"DESOGESTREL\ETHINYL ESTRADIOL","Dislocation of vertebra","3","2","5","11990","1439.4","1872.031","1","73.0","1"
"DICLOFENAC POTASSIUM","Deep vein thrombosis postoperative","6","19","2","11973","1437.0","1808.989","1","47.0","1"
"DICLOFENAC POTASSIUM","Retinitis","3","22","1","11974","1437.0","746.813","1","46.0","1"
"MYOCHRYSINE","Adverse reaction","5","9","3","11983","1426.905","2164.619","1","77.0","1"
"NICOTINAMIDE","Adverse reaction","5","9","3","11983","1426.905","2164.619","1","77.0","1"
"ENBREL","Onychomadesis","8","59","1","11932","1424.836","1111.488","1","77.5","1"
"CANDESARTAN","Onychomycosis","9","67","1","11923","1412.053","1131.959","1","78.0","1"
"MAGNESIUM CITRATE","Onychomadesis","6","11","3","11980","1409.765","2366.687","1","77.5","1"
"RUXOLITINIB","Chronic graft versus host disease","4","30","1","11965","1407.765","860.516","1","6.0","0"
"BERINERT","Finger deformity","7","13","3","11977","1397.667","2528.334","1","77.0","1"
"LEQEMBI","Amyloid related imaging abnormality-microhaemorrhages and haemosiderin deposits","3","10","2","11985","1383.115","1150.577","1","1.0","0"
"PULMOZYME","Cystic fibrosis","3","10","2","11985","1383.115","1150.577","1","6.0","0"
"PSEUDOEPHEDRINE HYDROCHLORIDE","Swollen joint count increased","6","20","2","11972","1381.615","1739.135","1","74.0","1"
"AZATHIOPRINE SODIUM","Nail disorder","4","1","7","11988","1370.857","2669.29","1","75.0","1"
"MINOCYCLINE HYDROCHLORIDE","Onychomadesis","5","6","4","11985","1362.386","2449.635","1","73.0","1"
"FLUMETHASONE PIVALATE","Lupus vulgaris","5","17","2","11976","1361.136","1572.734","1","56.0","1"
